File Name: not saved,,,,,,,,,,,,,
"Channel 1: 'LGM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 2: 'LAM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 3: 'LVM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 4: 'LVL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 5: 'LBF', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 6: 'LMG', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 7: 'LPL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 1: 'RGM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 2: 'RAM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 3: 'RVM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 4: 'RVL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 5: 'RBF', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 6: 'RMG', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 7: 'RPL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
,,,,,,,,,,,,,
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2928,-4000,-398,4000,-4000
-4000,-3640,4000,4000,-4000,4000,4000,4000,3954,1564,-3891,-223,4000,-4000
-4000,-3423,4000,4000,-4000,4000,3649,4000,4000,1560,-3745,-243,4000,-4000
-3644,-2481,3273,2555,-2498,1149,958,4000,3397,1166,-2479,-138,2502,-2094
6,154,-611,-2473,2062,-3695,-3641,2002,1258,214,338,64,-2373,1974
4000,3843,-4000,-4000,4000,-4000,-4000,-2740,-3081,-1142,4000,298,-4000,4000
4000,4000,-4000,-3910,4000,-3889,-3895,-4000,-4000,-1787,3850,245,-4000,3729
3844,2285,-3599,-4000,3657,-4000,-4000,-3653,-3842,-875,2247,131,-4000,3001
4000,2887,-4000,-4000,3607,-3229,-2733,-3431,-3594,-1176,2801,174,-4000,2973
3622,1714,-2110,-3415,1590,-2079,-1683,-2834,-3008,-941,1344,93,-2972,1509
3757,1490,-1984,-3374,1977,-1626,-1415,-1665,-1900,-910,1438,119,-2605,1778
2586,1112,-1128,-1268,648,-299,-181,-1843,-2015,-1020,775,92,-836,652
962,528,-354,-446,651,-175,-269,-659,-889,-809,503,82,-585,757
-547,543,-290,1063,137,871,718,-898,-1053,-964,331,87,496,101
-2913,-237,900,3026,-997,1632,1657,-42,-160,-617,-360,27,1549,-920
-4000,-1730,2680,4000,-3497,4000,4000,1075,1461,418,-2297,-138,3788,-3779
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2649,-4000,-422,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2513,-4000,-324,4000,-4000
-4000,-3335,4000,4000,-4000,4000,4000,4000,3831,1384,-3751,-218,4000,-4000
-4000,-3350,4000,3878,-4000,3501,3022,4000,4000,1591,-3499,-230,3861,-3467
-3028,-1752,2222,1235,-1222,-648,-641,3748,2739,821,-1756,-74,1215,-1089
2208,1482,-2425,-3802,3531,-4000,-4000,616,95,-169,1928,147,-3796,3448
4000,4000,-4000,-4000,4000,-4000,-4000,-3881,-4000,-1628,4000,325,-4000,4000
4000,3369,-4000,-3664,3678,-3803,-3661,-4000,-4000,-1475,3138,179,-3972,3102
4000,2391,-3800,-4000,4000,-4000,-4000,-3191,-3357,-856,2486,146,-4000,3362
4000,2698,-3679,-3689,2746,-2505,-1986,-3667,-3815,-1229,2406,154,-3819,2257
3579,1372,-1708,-3554,1655,-2134,-1818,-2092,-2316,-801,1166,89,-2898,1630
3597,1572,-2011,-2767,1685,-1022,-838,-1899,-2091,-1041,1420,129,-2003,1435
1848,742,-568,-835,399,-270,-221,-1374,-1575,-898,468,79,-594,552
527,628,-500,-102,710,160,14,-685,-882,-886,605,100,-365,684
-1325,279,131,1703,-287,1079,951,-724,-887,-887,39,71,916,-210
-3677,-490,1254,3692,-1586,2354,2475,254,255,-418,-653,1,2163,-1695
-4000,-2812,3604,4000,-4000,4000,4000,1996,2493,1147,-3411,-246,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,3001,-4000,-436,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,1973,-4000,-260,4000,-4000
-4000,-3345,4000,4000,-4000,4000,4000,4000,3917,1436,-3788,-232,4000,-4000
-3976,-3026,3948,3314,-3450,2521,2121,4000,3872,1443,-3052,-194,3338,-2805
-1762,-887,938,-667,310,-2479,-2393,2975,2036,509,-849,-7,-503,285
3758,2848,-3690,-4000,4000,-4000,-4000,-1120,-1530,-622,3259,237,-4000,4000
